,Name,Symbol,Ex-Dividend Date,Payment Date,Record Date,Dividend,Annual Dividend
36,International Business Machines Corporation,IBM,02/10/2022,03/10/2022,02/11/2022,1.64,6.56
4,"AMERIPRISE FINANCIAL SERVICES, LLC",AMP,02/10/2022,02/28/2022,02/11/2022,1.13,4.52
54,Parker-Hannifin Corporation,PH,02/10/2022,03/04/2022,02/11/2022,1.03,4.12
23,Entergy Corporation,ETR,02/10/2022,03/01/2022,02/11/2022,1.01,4.04
93,J.M. Smucker Company (The),SJM,02/10/2022,03/01/2022,02/11/2022,0.99,3.96
48,"Nexstar Media Group, Inc.",NXST,02/10/2022,02/28/2022,02/11/2022,0.9,3.6
78,Pzena Investment Management Inc,PZN,02/10/2022,02/25/2022,02/11/2022,0.53,2.12
22,Emerson Electric Company,EMR,02/10/2022,03/10/2022,02/11/2022,0.515,2.06
94,SouthState Corporation,SSB,02/10/2022,02/18/2022,02/11/2022,0.49,1.96
96,Starbucks Corporation,SBUX,02/10/2022,02/25/2022,02/11/2022,0.49,1.96
